artistName,albumName,albumCover,releaseDate,trackNumber
Pitbull,Libertad 548,https://i.scdn.co/image/ab67616d0000b273f0dd8e557b66318ea8e6978d,2019-09-27,15
Pitbull,Gotti (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273bfb673e097b39939d6f91874,2018-06-14,19
Pitbull,Sunbeam (feat. Pitbull),https://i.scdn.co/image/ab67616d0000b2737c58a04b13859fc46b205fc3,2017-10-18,8
Pitbull,Sparks Fly (feat. Pitbull),https://i.scdn.co/image/ab67616d0000b273d48cb934224a3f13586ef1a5,2017-08-16,7
Pitbull,Climate Change,https://i.scdn.co/image/ab67616d0000b273847d47b2d33517f0e8b2b958,2017-03-17,12
Pitbull,Climate Change,https://i.scdn.co/image/ab67616d0000b273126eadde9c041f501ea1a73e,2017-03-17,12
Pitbull,Dale,https://i.scdn.co/image/ab67616d0000b273ca6dc07b396179309abbbad0,2015-08-05,12
Pitbull,Dale,https://i.scdn.co/image/ab67616d0000b273a1cc249569898d31407fcf7c,2015-07-17,12
Pitbull,Dale,https://i.scdn.co/image/ab67616d0000b27361fd3efe3692e389a9dd09bf,2015-06-30,12
Pitbull,Globalization,https://i.scdn.co/image/ab67616d0000b273d5664fc5db180225b7107f70,2014-11-26,13
Pitbull,Globalization,https://i.scdn.co/image/ab67616d0000b2731e340d1480e7bb29a45e3bd7,2014-11-21,11
Pitbull,Globalization,https://i.scdn.co/image/ab67616d0000b273a586c00a9a8358bb3d091f6b,2014-11-21,11
Pitbull,Global Warming: Meltdown (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273ceddedb12a26f6ae2ffa9481,2013-12-18,22
Pitbull,Global Warming,https://i.scdn.co/image/ab67616d0000b273f6779262353e18f48c014c81,2012-11-28,17
Pitbull,Global Warming (Deluxe Version),https://i.scdn.co/image/ab67616d0000b27380cd8c2bbe69d0f5f9e7a044,2012-11-19,23
Pitbull,Global Warming (Deluxe Version),https://i.scdn.co/image/ab67616d0000b2736fcb24347773605819a6fd87,2012-11-19,16
Pitbull,Global Warming (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273ec6a82c9af7caeee644e903c,2012-11-19,16
Pitbull,Global Warming (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273f575130838bc98c4f2b17312,2012-11-19,16
Pitbull,Global Warming,https://i.scdn.co/image/ab67616d0000b2732c5b24ecfa39523a75c993c4,2012-11-16,18
Pitbull,Global Warming (Deluxe Version),https://i.scdn.co/image/ab67616d0000b27325db40beef246f7a47890334,2012-11-16,23
Future,I NEVER LIKED YOU,https://i.scdn.co/image/ab67616d0000b2737e83b7d94b668d9ea94fe7ec,2022-05-02,22
Future,I NEVER LIKED YOU,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,2022-04-29,16
Future,I NEVER LIKED YOU,https://i.scdn.co/image/ab67616d0000b273bb7e16840d52d7a8380cd308,2022-04-28,22
Future,I NEVER LIKED YOU,https://i.scdn.co/image/ab67616d0000b2732ae6b8b2f7af8d8bb442b151,2022-04-27,16
Future,Pluto x Baby Pluto (Deluxe),https://i.scdn.co/image/ab67616d0000b2738efe5b8d9a3544b98aa6a85e,2020-11-13,24
Future,Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d0000b27357928e0363878a71692e6a1f,2020-11-13,16
Future,Pluto x Baby Pluto (Deluxe),https://i.scdn.co/image/ab67616d0000b27319be1f7ca66fa5f2a70ab802,2020-11-12,24
Future,Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d0000b2739e3502f1aa68ba377f5032c8,2020-11-12,16
Future,High Off Life,https://i.scdn.co/image/ab67616d0000b273935d8d5369bc55e74a39303e,2020-05-15,21
Future,High Off Life,https://i.scdn.co/image/ab67616d0000b273a40a5fd6c07a612e9930045b,2020-05-14,21
Future,SAVE ME,https://i.scdn.co/image/ab67616d0000b2735cd6070603a9f2e5dcb01d0c,2019-06-07,7
Future,SAVE ME,https://i.scdn.co/image/ab67616d0000b273bd2983247446da211b36bc9d,2019-06-07,7
Future,Future Hndrxx Presents: The WIZRD,https://i.scdn.co/image/ab67616d0000b273e111437ad4fd3f50c8461ec5,2019-01-18,20
