songName,albumName,artistName,trackNumber,isExplicit,durationMS,discNumber
Winning,Libertad 548,Pitbull,1,true,215786,1
No Lo Trates,Libertad 548,Pitbull,2,false,198453,1
3 to Tango,Libertad 548,Pitbull,3,true,222252,1
Moviéndolo,Libertad 548,Pitbull,4,false,171226,1
Happy Mama Day,Libertad 548,Pitbull,5,false,176893,1
Get Ready,Libertad 548,Pitbull,6,false,214613,1
Cinco De Mayo,Libertad 548,Pitbull,7,false,227920,1
Mala,Libertad 548,Pitbull,8,false,173693,1
Mueve La Cintura,Libertad 548,Pitbull,9,false,193266,1
Me Quedaré Contigo,Libertad 548,Pitbull,10,false,226773,1
Se La Vi,Libertad 548,Pitbull,11,true,235546,1
Tell Me Again,Libertad 548,Pitbull,12,false,211653,1
No Se Lleva Nada,Libertad 548,Pitbull,13,true,175400,1
Ocupado,Libertad 548,Pitbull,14,false,251133,1
Cantare,Libertad 548,Pitbull,15,false,184653,1
So Sorry,Gotti (Original Motion Picture Soundtrack),Pitbull,1,true,147066,1
Father & Son,Gotti (Original Motion Picture Soundtrack),Pitbull,2,false,390333,1
Carpe Diem,Gotti (Original Motion Picture Soundtrack),Pitbull,3,false,237573,1
Amore,Gotti (Original Motion Picture Soundtrack),Pitbull,4,true,198306,1
Don't Say Another Word,Gotti (Original Motion Picture Soundtrack),Pitbull,5,false,44306,1
The Meeting,Gotti (Original Motion Picture Soundtrack),Pitbull,6,false,54933,1
Enough,Gotti (Original Motion Picture Soundtrack),Pitbull,7,false,51146,1
Father,Gotti (Original Motion Picture Soundtrack),Pitbull,8,false,246826,1
Advice,Gotti (Original Motion Picture Soundtrack),Pitbull,9,false,34320,1
Somebody To Be,Gotti (Original Motion Picture Soundtrack),Pitbull,10,false,312426,1
The Mistake,Gotti (Original Motion Picture Soundtrack),Pitbull,11,false,103866,1
Still Here,Gotti (Original Motion Picture Soundtrack),Pitbull,12,false,112386,1
I Know You Know,Gotti (Original Motion Picture Soundtrack),Pitbull,13,false,89840,1
Cosa Nostra,Gotti (Original Motion Picture Soundtrack),Pitbull,14,false,100040,1
The Decision,Gotti (Original Motion Picture Soundtrack),Pitbull,15,false,56853,1
The Plot,Gotti (Original Motion Picture Soundtrack),Pitbull,16,false,279240,1
The Shelf,Gotti (Original Motion Picture Soundtrack),Pitbull,17,false,73640,1
The Trial,Gotti (Original Motion Picture Soundtrack),Pitbull,18,false,71093,1
Mourning,Gotti (Original Motion Picture Soundtrack),Pitbull,19,false,73826,1
Sunbeam (feat. Pitbull) [EDM Mix],Sunbeam (feat. Pitbull),Pitbull,1,false,240000,1
Sunbeam (Deep Mix) [feat. Pitbull],Sunbeam (feat. Pitbull),Pitbull,2,false,194754,1
Sunbeam (feat. Pitbull) [EDM Mix No Rap],Sunbeam (feat. Pitbull),Pitbull,3,false,225000,1
Sunbeam (feat. Pitbull) [Deep Mix No Rap],Sunbeam (feat. Pitbull),Pitbull,4,false,177049,1
Sunbeam (feat. Pitbull)[EDM Mix Extended],Sunbeam (feat. Pitbull),Pitbull,5,false,180720,1
Sunbeam (feat. Pitbull) [Deep Mix Extended],Sunbeam (feat. Pitbull),Pitbull,6,false,291147,1
Sunbeam (feat. Pitbull) [EDM Mix Extended No Rap],Sunbeam (feat. Pitbull),Pitbull,7,false,294375,1
Sunbeam (feat. Pitbull) [Deep Mix Extended No Rap],Sunbeam (feat. Pitbull),Pitbull,8,false,275409,1
Sparks Fly (feat. Pitbull) [Deep Mix Edit],Sparks Fly (feat. Pitbull),Pitbull,1,false,193548,1
Sparks Fly (feat Pitbull)[BigBeat EDM Mix Edit],Sparks Fly (feat. Pitbull),Pitbull,2,false,219374,1
Sparks Fly (feat. Pitbull) [ADroiD Remix],Sparks Fly (feat. Pitbull),Pitbull,3,false,235642,1
Sparks Fly (feat. Pitbull) [Lotus Radio Edit],Sparks Fly (feat. Pitbull),Pitbull,4,false,224531,1
Sparks Fly (feat. Pitbull) [Deep Mix Extended],Sparks Fly (feat. Pitbull),Pitbull,5,false,202253,1
Sparks Fly (feat. Pitbull) [BigBeat EDM Mix Extended],Sparks Fly (feat. Pitbull),Pitbull,6,false,305316,1
Sparks Fly (feat. Pitbull) [Lotus Extended Mix],Sparks Fly (feat. Pitbull),Pitbull,7,false,346471,1
We Are Strong (feat. Kiesza),Climate Change,Pitbull,1,false,216986,1
Bad Man (feat. Robin Thicke Joe Perry & Travis Barker),Climate Change,Pitbull,2,false,215080,1
Greenlight (feat. Flo Rida & LunchMoney Lewis),Climate Change,Pitbull,3,false,245360,1
Messin' Around (with Enrique Iglesias),Climate Change,Pitbull,4,true,222693,1
Better On Me (feat. Ty Dolla $ign),Climate Change,Pitbull,5,true,227946,1
Sexy Body,Climate Change,Pitbull,6,false,223906,1
Freedom,Climate Change,Pitbull,7,false,175320,1
Options (feat. Stephen Marley),Climate Change,Pitbull,8,true,239760,1
Educate Ya (feat. Jason Derulo),Climate Change,Pitbull,9,false,213706,1
Only Ones To Know (feat. Leona Lewis),Climate Change,Pitbull,10,true,230933,1
Dedicated (feat. R. Kelly & Austin Mahone),Climate Change,Pitbull,11,false,236480,1
Can't Have (feat. Steven A. Clark & Ape Drums),Climate Change,Pitbull,12,true,215106,1
We Are Strong (feat. Kiesza),Climate Change,Pitbull,1,false,216986,1
Bad Man (feat. Robin Thicke Joe Perry & Travis Barker),Climate Change,Pitbull,2,false,215080,1
Greenlight (feat. Flo Rida & LunchMoney Lewis),Climate Change,Pitbull,3,false,245360,1
Messin' Around (with Enrique Iglesias),Climate Change,Pitbull,4,false,222693,1
Better On Me (feat. Ty Dolla $ign),Climate Change,Pitbull,5,false,227946,1
Sexy Body,Climate Change,Pitbull,6,false,223906,1
Freedom,Climate Change,Pitbull,7,false,175320,1
Options (feat. Stephen Marley),Climate Change,Pitbull,8,false,239760,1
Educate Ya (feat. Jason Derulo),Climate Change,Pitbull,9,false,213706,1
Only Ones To Know (feat. Leona Lewis),Climate Change,Pitbull,10,false,230933,1
Dedicated (feat. R. Kelly & Austin Mahone),Climate Change,Pitbull,11,false,236480,1
Can't Have (feat. Steven A. Clark & Ape Drums),Climate Change,Pitbull,12,false,215106,1
Piensas (Dile la Verdad),Dale,Pitbull,1,false,226640,1
Como Yo Le Doy - Spanglish Version,Dale,Pitbull,2,false,262706,1
El Taxi - Radio Edit,Dale,Pitbull,3,false,240906,1
Yo Quiero (Si Tu Te Enamoras),Dale,Pitbull,4,false,208106,1
El Party,Dale,Pitbull,5,false,235973,1
Mami Mami,Dale,Pitbull,6,false,212040,1
